ts,container,mem_mb,mem_pct,cpu_pct
1776549852,mft-keystore-manager,700.5,78.18,0.28
1776549852,mft-ftp-web-service,641.8,71.63,5.41
1776549852,mft-analytics-service,689.9,77.00,0.31
1776549852,mft-config-service,638.0,71.21,2.15
1776549852,mft-gateway-service,617.2,68.88,1.08
1776549852,mft-grafana,59.8,0.25,0.04
1776549852,mft-encryption-service,660.6,73.73,0.36
1776549852,mft-promtail,56.8,0.24,0.49
1776549852,mft-postgres,235.8,0.98,3.61
1776549852,mft-rabbitmq,162.3,0.68,0.73
1776549852,mft-redis,10.7,0.04,0.33
1776549852,mft-prometheus,75.7,0.32,1.00
1776549852,mft-spire-server,33.3,0.14,0.42
1776549852,mft-loki,163.8,0.68,0.39
1776549852,mft-alertmanager,20.7,0.09,0.05
1776549852,mft-vault,125.2,0.52,0.26
1776549852,mft-redpanda,182.5,0.76,0.12
1776549915,mft-api-gateway,14.9,0.06,1.29
1776549915,mft-edi-converter,211.8,23.64,0.19
1776549915,mft-ui-service,9.2,0.04,0.04
1776549915,mft-dmz-proxy-internal,248.9,1.04,0.22
1776549915,mft-ftp-web-ui,8.4,0.04,0.00
1776549915,mft-partner-portal,9.0,0.04,0.00
1776549915,mft-spire-agent,34.8,0.15,0.34
1776549915,mft-notification-service,492.3,54.94,2.57
1776549915,mft-platform-sentinel,674.3,75.26,5.33
1776549915,mft-ai-engine,637.3,71.13,7.41
1776549915,mft-sftp-service,697.4,77.83,4.30
1776549915,mft-license-service,619.2,69.11,0.47
1776549915,mft-ftp-service,657.9,73.43,0.82
1776549915,mft-screening-service,677.0,75.56,0.38
1776549915,mft-forwarder-service,661.0,73.77,0.26
1776549915,mft-as2-service,644.1,2.68,3.07
1776549915,mft-onboarding-api,670.7,74.86,1.13
1776549915,mft-storage-manager,548.9,61.26,0.47
1776549915,mft-keystore-manager,700.6,78.19,0.68
1776549915,mft-ftp-web-service,642.0,71.66,4.49
1776549915,mft-analytics-service,690.1,77.02,0.59
1776549915,mft-config-service,638.1,71.22,6.47
1776549915,mft-gateway-service,617.3,68.90,0.34
1776549915,mft-grafana,59.7,0.25,0.04
1776549915,mft-encryption-service,660.8,73.75,0.48
1776549915,mft-promtail,56.8,0.24,0.51
1776549915,mft-postgres,243.5,1.01,3.17
1776549915,mft-rabbitmq,164.2,0.68,3.51
1776549915,mft-redis,10.7,0.04,0.56
1776549915,mft-prometheus,75.8,0.32,0.81
1776549915,mft-spire-server,33.3,0.14,0.47
1776549915,mft-loki,165.0,0.69,1.66
1776549915,mft-alertmanager,20.7,0.09,1.32
1776549915,mft-vault,125.2,0.52,0.46
1776549915,mft-redpanda,182.5,0.76,0.16
1776549978,mft-api-gateway,14.8,0.06,0.24
1776549978,mft-edi-converter,211.9,23.64,0.09
1776549978,mft-ui-service,9.2,0.04,1.13
1776549978,mft-dmz-proxy-internal,249.2,1.04,0.14
1776549978,mft-ftp-web-ui,8.4,0.04,0.98
1776549978,mft-partner-portal,9.0,0.04,1.05
1776549978,mft-spire-agent,34.8,0.15,0.05
1776549978,mft-notification-service,494.0,55.14,5.01
1776549978,mft-platform-sentinel,674.4,75.27,0.53
1776549978,mft-ai-engine,637.3,71.13,6.80
