1776549710,10,0
1776549758,20,0
1776549804,30,0
1776549851,40,0
1776549897,50,0
1776549944,60,0
1776549989,70,0
1776550033,80,0
1776550082,90,0
1776550127,100,0
1776550171,110,0
1776550216,120,0
1776550264,130,0
1776550308,140,0
1776550354,150,0
1776550399,160,0
1776550442,170,0
1776550489,180,0
1776550532,190,0
1776550576,200,0
1776550620,210,0
1776550664,220,0
1776550708,230,0
1776550751,240,0
1776550795,250,0
1776550841,260,0
1776550887,270,0
1776550941,280,0
1776550992,290,0
1776551040,300,0
1776551087,310,0
1776551132,320,0
1776551176,330,0
