1776544485,10,0
1776544533,20,0
1776544580,30,0
1776544626,40,0
1776544671,50,0
1776544718,60,0
1776544765,70,0
1776544811,80,0
1776544856,90,0
1776544902,100,0
1776544948,110,0
1776544993,120,0
1776545038,130,0
1776545084,140,0
1776545130,150,0
1776545176,160,0
1776545223,170,0
1776545269,180,0
1776545316,190,0
1776545361,200,0
1776545407,210,0
1776545452,220,0
1776545497,230,0
1776545542,240,0
1776545588,250,0
1776545633,260,0
1776545678,270,0
1776545722,280,0
1776545766,290,0
1776545811,300,0
1776545856,310,0
1776545903,320,0
1776545952,330,0
1776545998,340,0
1776546045,350,0
1776546091,360,0
1776546137,370,0
1776546183,380,0
1776546230,390,0
