ts,service,heap_used_mb,metaspace_used_mb,hikari_active,hikari_idle,hikari_pending
1776544440,onboarding-api,,,,,
1776544440,config-service,,,,,
1776544440,storage-manager,,,,,
1776544440,sftp-service,,,,,
1776544440,gateway-service,,,,,
1776544440,notification-service,,,,,
1776544502,onboarding-api,,,,,
1776544502,config-service,,,,,
1776544502,storage-manager,,,,,
1776544502,sftp-service,,,,,
1776544502,gateway-service,,,,,
1776544502,notification-service,,,,,
1776544564,onboarding-api,,,,,
1776544564,config-service,,,,,
1776544564,storage-manager,,,,,
1776544564,sftp-service,,,,,
1776544564,gateway-service,,,,,
1776544564,notification-service,,,,,
1776544626,onboarding-api,,,,,
1776544626,config-service,,,,,
1776544626,storage-manager,,,,,
1776544626,sftp-service,,,,,
1776544626,gateway-service,,,,,
1776544626,notification-service,,,,,
1776544688,onboarding-api,,,,,
1776544688,config-service,,,,,
1776544688,storage-manager,,,,,
1776544688,sftp-service,,,,,
1776544688,gateway-service,,,,,
1776544688,notification-service,,,,,
1776544749,onboarding-api,,,,,
1776544749,config-service,,,,,
1776544749,storage-manager,,,,,
1776544749,sftp-service,,,,,
1776544749,gateway-service,,,,,
1776544749,notification-service,,,,,
1776544812,onboarding-api,,,,,
1776544812,config-service,,,,,
1776544812,storage-manager,,,,,
1776544812,sftp-service,,,,,
1776544812,gateway-service,,,,,
1776544812,notification-service,,,,,
1776544873,onboarding-api,,,,,
1776544873,config-service,,,,,
1776544873,storage-manager,,,,,
1776544873,sftp-service,,,,,
1776544873,gateway-service,,,,,
1776544873,notification-service,,,,,
1776544935,onboarding-api,,,,,
1776544935,config-service,,,,,
1776544935,storage-manager,,,,,
1776544935,sftp-service,,,,,
1776544935,gateway-service,,,,,
1776544935,notification-service,,,,,
1776544996,onboarding-api,,,,,
1776544996,config-service,,,,,
1776544996,storage-manager,,,,,
1776544996,sftp-service,,,,,
1776544996,gateway-service,,,,,
1776544996,notification-service,,,,,
1776545058,onboarding-api,,,,,
1776545058,config-service,,,,,
1776545058,storage-manager,,,,,
1776545058,sftp-service,,,,,
1776545058,gateway-service,,,,,
1776545058,notification-service,,,,,
1776545120,onboarding-api,,,,,
1776545120,config-service,,,,,
1776545120,storage-manager,,,,,
1776545120,sftp-service,,,,,
1776545120,gateway-service,,,,,
1776545120,notification-service,,,,,
1776545181,onboarding-api,,,,,
1776545181,config-service,,,,,
1776545181,storage-manager,,,,,
1776545181,sftp-service,,,,,
1776545181,gateway-service,,,,,
1776545181,notification-service,,,,,
1776545243,onboarding-api,,,,,
1776545243,config-service,,,,,
1776545243,storage-manager,,,,,
1776545243,sftp-service,,,,,
1776545243,gateway-service,,,,,
1776545243,notification-service,,,,,
1776545304,onboarding-api,,,,,
1776545304,config-service,,,,,
1776545304,storage-manager,,,,,
1776545304,sftp-service,,,,,
1776545304,gateway-service,,,,,
