ts,container,mem_mb,mem_pct,cpu_pct
1776544734,mft-ai-engine,580.3,64.76,0.77
1776544734,mft-onboarding-api,634.6,70.83,7.09
1776544734,mft-forwarder-service,550.6,61.45,1.14
1776544734,mft-config-service,588.2,65.65,8.97
1776544734,mft-api-gateway,13.9,0.06,2.51
1776544734,mft-edi-converter,215.8,24.09,4.17
1776544734,mft-dmz-proxy-internal,289.1,1.20,0.31
1776544734,mft-partner-portal,9.0,0.04,0.00
1776544734,mft-ui-service,9.3,0.04,0.10
1776544734,mft-ftp-web-ui,8.9,0.04,0.00
1776544734,mft-spire-agent,37.2,0.15,7.60
1776544734,mft-platform-sentinel,620.8,69.28,3.31
1776544734,mft-notification-service,495.6,55.32,1.08
1776544734,mft-gateway-service,770.0,85.94,7.53
1776544734,mft-as2-service,667.1,2.78,3.87
1776544734,mft-sftp-service,596.2,66.54,9.38
1776544734,mft-ftp-service,747.7,83.45,6.91
1776544734,mft-storage-manager,741.7,82.78,0.60
1776544734,mft-analytics-service,761.1,84.95,2.83
1776544734,mft-screening-service,724.3,80.84,0.61
1776544734,mft-ftp-web-service,709.1,79.14,0.64
1776544734,mft-keystore-manager,531.4,59.31,3.92
1776544734,mft-license-service,711.3,79.38,3.54
1776544734,mft-encryption-service,709.5,79.18,4.63
1776544734,mft-grafana,57.3,0.24,0.10
1776544734,mft-promtail,59.3,0.25,1.39
1776544734,mft-postgres,245.1,1.02,2.66
1776544734,mft-redis,10.2,0.04,0.94
1776544734,mft-rabbitmq,170.5,0.71,0.57
1776544734,mft-spire-server,35.6,0.15,0.33
1776544734,mft-prometheus,78.8,0.33,2.02
1776544734,mft-vault,195.1,0.81,0.53
1776544734,mft-loki,208.6,0.87,0.77
1776544734,mft-alertmanager,19.1,0.08,0.10
1776544734,mft-redpanda,181.9,0.76,0.23
1776544797,mft-ai-engine,580.7,64.81,0.34
1776544797,mft-onboarding-api,636.2,71.01,0.44
1776544797,mft-forwarder-service,551.3,61.53,0.42
1776544797,mft-config-service,589.1,65.75,0.33
1776544797,mft-api-gateway,13.9,0.06,1.50
1776544797,mft-edi-converter,215.8,24.09,0.05
1776544797,mft-dmz-proxy-internal,289.2,1.21,0.20
1776544797,mft-partner-portal,9.0,0.04,0.00
1776544797,mft-ui-service,9.3,0.04,0.00
1776544797,mft-ftp-web-ui,8.9,0.04,0.00
1776544797,mft-spire-agent,37.2,0.16,0.16
1776544797,mft-platform-sentinel,620.8,69.29,4.03
1776544797,mft-notification-service,496.6,55.43,0.14
1776544797,mft-gateway-service,770.1,85.95,0.20
1776544797,mft-as2-service,667.2,2.78,0.28
1776544797,mft-sftp-service,596.5,66.57,2.19
1776544797,mft-ftp-service,747.8,83.46,0.31
1776544797,mft-storage-manager,742.1,82.82,0.16
1776544797,mft-analytics-service,761.2,84.95,2.11
1776544797,mft-screening-service,724.4,80.85,0.27
1776544797,mft-ftp-web-service,709.1,79.15,0.25
